symbol,year,Volume,marketCap,country,std_rel
A,2004,4267569.186507937,9127.8,0.0,3.4380107701482987
A,2005,4200650.492063492,7794.5175,0.0,2.6169804508207295
A,2006,3877236.047808765,10032.97,0.0,2.862279764933866
A,2007,3521136.478087649,9901.035,0.0,1.805160537208814
A,2008,4467737.229249012,8983.635,0.0,1.326525225452674
A,2009,4986730.916666667,5082.110000000001,0.0,1.5690425759375617
A,2010,4927461.793650794,7339.5475,0.0,1.7343277748586343
A,2011,6060529.130952381,10384.3275,0.0,2.3327082828991332
A,2012,4596178.312,9954.54,0.0,2.3789127112099826
A,2013,4259568.968253968,10283.855000000001,0.0,2.057055825740231
A,2014,3011466.337301587,13031.325,0.0,2.0550410299770085
A,2015,2560682.1428571427,13326.68,0.0,1.567157276957834
A,2016,2083069.0476190476,13449.06,0.0,1.9998232241834
A,2017,1850937.450199203,16747.3525,0.0,2.5167051594491245
A,2018,2592049.402390438,21981.1575,0.0,1.991218253905974
A,2019,2157035.714285714,22848.0825,0.0,1.9778602407338606
A,2020,1851855.3359683794,25613.565,0.0,1.31296289841225
A,2021,1623303.1746031747,38868.2375,0.0,1.6193647991026041
A,2022,1702321.9123505976,41237.0925,0.0,1.5028195566045035
A,2023,1845002.0,40511.835,0.0,2.066675876736333
A,2024,1721652.91005291,36152.02,0.0,2.317129199983117
AAN,2021,311875.79365079367,1129.8315837125,0.0,2.7074743803933004
AAN,2022,352609.561752988,685.5034899999999,0.0,1.974109489136337
AAN,2023,396364.8,350.23545751,0.0,3.048158624745739
AAN,2024,606074.074074074,295.08152,0.0,2.708038777047504
AAOI,2013,99426.86567164179,125.53916664000002,0.0,8.265809037024868
AAOI,2014,254300.79365079364,234.53552209999998,0.0,4.0934599768112365
AAOI,2015,322536.50793650793,217.49428328000002,0.0,3.6928630125699775
AAOI,2016,399534.5238095238,256.329375,0.0,3.876916565814427
AAOI,2017,2491397.609561753,754.37176,0.0,6.968445468687509
AAOI,2018,1296769.721115538,837.4383740999999,0.0,4.782730716560238
AAOI,2019,697307.1428571428,307.1326023075,0.0,3.7652536668940164
AAOI,2020,805003.9525691699,210.71428715,0.0,3.073132208440514
AAOI,2021,633788.4920634921,231.5028549775,0.0,2.604372580904678
AAOI,2022,630049.4023904382,119.317140215,0.0,3.1020501049051306
AAOI,2023,1969446.8,92.2676934825,0.0,6.887762839098085
AAOI,2024,2450251.8518518517,533.2199183833333,0.0,4.9191473843810165
AAPL,2004,483339955.5555556,9385.652292660001,0.0,3.638076807468741
AAPL,2005,723813422.2222222,26173.599793319998,0.0,3.812254849013753
AAPL,2006,859358430.2788844,51273.89484,0.0,3.9615715696372495
AAPL,2007,984047751.3944223,81141.3687,0.0,2.7688465661573107
AAPL,2008,1130360498.0237155,146193.82764,0.0,1.8119586031829769
AAPL,2009,568467011.1111112,103159.24794,0.0,1.3446140146024235
AAPL,2010,599305266.6666666,201369.2345,0.0,1.601185591689565
AAPL,2011,492298966.6666667,297916.87268000003,0.0,1.4172832773019481
AAPL,2012,527856817.6,464748.19468,0.0,2.241382567249606
AAPL,2013,406434800.0,471185.05182,0.0,2.629014527028887
AAPL,2014,252610922.2222222,490238.71767000004,0.0,2.043839625839351
AAPL,2015,207397617.46031746,676088.42708,0.0,1.845005685174688
AAPL,2016,153690123.80952382,584885.6005000001,0.0,1.9554041544375047
AAPL,2017,108538270.91633466,679474.33432,0.0,2.682978121478505
AAPL,2018,136080258.16733068,851473.56562,0.0,1.9965839874705966
AAPL,2019,112122788.8888889,904109.36499,0.0,2.101715071260406
AAPL,2020,157564646.64031622,1216901.20739,0.0,1.9362548794210341
AAPL,2021,90524627.38095239,2098595.4630899997,0.0,2.007816345402487
AAPL,2022,87910376.4940239,2611423.999545,0.0,1.4766279081228924
AAPL,2023,59217028.8,2531139.9364575,0.0,1.5790647448186794
AAPL,2024,61686324.867724866,2766223.3174699997,0.0,2.105079985443947
AAT,2011,316252.868852459,785.8293442,0.0,4.09444506338525
AAT,2012,151374.8,870.5755138166666,0.0,1.236398930527906
AAT,2013,194510.7142857143,1155.6671778925,0.0,1.3899188889046379
AAT,2014,159424.20634920636,1320.21929482,0.0,0.9838974417682707
AAT,2015,190908.33333333334,1682.5177563450002,0.0,1.2382663439245996
AAT,2016,192408.33333333334,1824.5832433625,0.0,1.1049271897837927
AAT,2017,243241.4342629482,1926.4940399425,0.0,1.3704013784258888
AAT,2018,258346.21513944224,1742.4657846325001,0.0,1.369794954235396
AAT,2019,341413.49206349207,2036.31227428,0.0,1.083966696349084
AAT,2020,363865.2173913043,2168.16942926,0.0,1.7477165913772084
AAT,2021,282938.49206349207,1838.8341836724999,0.0,1.2864971150713107
AAT,2022,279362.94820717134,2291.9761048875,0.0,0.9759580779444529
AAT,2023,426735.6,1456.3352586725,0.0,1.6602441422037149
AAT,2024,291919.04761904763,1266.214053,0.0,1.3900801120741761
ABBV,2013,6259331.746031746,60178.02180356,0.0,5.116562722584294
ABBV,2014,9136328.174603175,81724.392819805,0.0,2.312080311438222
ABBV,2015,10486105.952380951,99621.70445516,0.0,2.1482349057802614
ABBV,2016,8018055.158730159,94525.78436735,0.0,2.172161831446491
ABBV,2017,5990490.836653386,105591.83919422,0.0,2.696268175430191
ABBV,2018,7082670.119521912,148030.4825,0.0,2.5291339256722902
ABBV,2019,7828973.015873016,127411.91,0.0,2.215610850144574
ABBV,2020,9449449.011857707,129432.1913917,0.0,1.3869358705197505
ABBV,2021,6819636.111111111,183799.1,0.0,1.672130786408479
